"id","corporateItemCd","upcId","rogCd","productHierarchy.productClass.productClassNm","productHierarchy.productClass.productClassCd","productHierarchy.productClass.retailSectionCd","productHierarchy.productSubClassLevel1.productSubClassNm","productHierarchy.productSubClassLevel1.productSubClassCd","productHierarchy.productSubClassLevel2.productSubClassNm","productHierarchy.productSubClassLevel2.productSubClassCd","productHierarchy.productGroup.productGroupNm","productHierarchy.productGroup.productGroupCd","productHierarchy.productCategory.productCategoryNm","productHierarchy.productCategory.productCategoryCd","pullDateInd","vendorId","vendorSubAccountNbr","priceLookUpCd","itemDescription.internetItemDsc","shelfLifeDys","dimension.shipUnitDimensions.shipUnitWtUOMCd","dimension.shipUnitDimensions.shipUnitWt","dimension.shipUnitDimensions.shipUnitPackQty","dimension.shelfUnitDimensions.itemPackUOMCd","departmentId","itemSourcingType.dsdInd","itemSourcingType.warehouseInd","vendorNm"
"SNCA-3300131-005200033832","3300131","005200033832","SNCA","GATORADE SPORTS DRINKS","1","313","GATORADE SPORTS DRINKS","1","GATORADE SPORTS DRINKS","1","NON CARBONATED BEVERAGES","3","SPORTS DRINKS","30","","001036","015","0","GATORADE G LEMON LIME","0","LB","36.800","8.00","I","201","N","Y","QUAKER SALES & DISTRIBUTION"
"SNCA-48051652-007218056624","48051652","007218056624","SNCA","MULTI-SERVE PIZZA FROZEN PREPARED FOOD","1","317","MAINSTREAM MULTI SERVE FROZEN PIZZA","10","MAINSTREAM MULTI SERVE FROZEN PIZZA","10","PREPARED FROZEN FOODS","48","PIZZA FROZEN PREPARED FOODS","5","","001464","002","0","RED BARON CLASSIC CRUST PIZZA 4 MEAT","0","LB","0.001","1.00","I","","Y","N","SCHWANS CONSUMER BRANDS NORTH AMERICA"
"SNCA-8011418-001200018399","8011418","001200018399","SNCA","CSD < 12 OZ MP CANS","1","313","PEPSI CSD < 12 OZ MP CANS","1","PEPSI CSD < 12 OZ MP CANS","1","CARBONATED BEVERAGES & MIXERS","8","CARBONATED SOFT DRINKS","1","","001390","022","0","MUG ROOT BEER","0","LB","0.001","4.00","I","","Y","N","PEPSI COLA BOTTLING CO"
"SNCA-89011048-007199030071","89011048","007199030071","SNCA","MAINSTREAM BEER","1","305","LIGHT MAINSTREAM BEER","5","LIGHT MAINSTREAM BEER","5","ALCOHOLIC BEVERAGES","89","BEER","1","","003378","001","0","COORS LIGHT IN BOTTLES","0","LB","0.001","1.00","I","","Y","N","BAY AREA BEVERAGE CO"
"SNCA-19031179-075011001330","19031179","075011001330","SNCA","WHOLE PREPACKAGE COFFEE/HOT","5","301","PREMIUM WHOLE PREPKGD COFFEE/HOT","10","PREMIUM WHOLE PREPKGD COFFEE/HOT","10","COFFEE/TEA/HOT COCOA/CREAM/FILTERS","19","PREPACKAGED COFFEE/HOT","3","","025074","001","0","HUMBOLDT BAY COFFEE CO. DOUBLE DARK FRENCH ORGANIC COFFEE","0","LB","0.001","1.00","I","","Y","N","HUMBOLDT BAY COFFEE COMPANY"
"SNCA-88260030-020332900000","88260030","020332900000","SNCA","PORK LOIN","3","333","PORK LOIN STEAKS/CHOPS","10","PORK LOIN STEAKS/CHOPS","10","MEAT","88","PORK"," NATURAL","25","","000013","025","0","PORK TOP LOIN CHOP BONELESS VALUE PACK","0","LB","0.001","1.00","I","","Y","N","DUMMY VENDOR SAFEWAY MEAT"
"SNCA-96050339-001376402810","96050339","001376402810","SNCA","REGULAR BAGELS","1","336","PREMIUM REGULAR BAGELS","5","PREMIUM REGULAR BAGELS","5","COMMERCIAL FRESH BREAD","96","BAGELS COMMERCIAL FRESH BREAD","5","","014157","003","0","DAVES KILLER BREAD BRY BAGEL","0","LB","0.001","1.00","I","","Y","N","FLOWERS BAKERY"
"SNCA-4100041-085518800303","4100041","085518800303","SNCA","SPECIALTY SPREADS/SNACKERS","20","302","SPECIALTY SPREADS/SNACKERS","0","SPECIALTY SPREADS/SNACKERS","0","JAMS"," JELLIES & SPREADS","4","PEANUT BUTTER & SPREADS","10","","006446","001","0","JUSTINS NUT BUTTER HONEY PNT","0","LB","0.001","12.00","I","","Y","N","KEHE DISTRIBUTORS"
"SNCA-8011902-007800000201","8011902","007800000201","SNCA","CSD < 12 OZ MP CANS","1","313","DR PEPPER/7-UP CSD  12 OZ MP CANS","10","DR PEPPER/7-UP CSD  12 OZ MP CANS","10","CARBONATED BEVERAGES & MIXERS","8","CARBONATED SOFT DRINKS","1","","001906","012","0","CANADA DRY GINGER ALE SLIM CANS","0","LB","0.001","4.00","I","","Y","N","7UP BOTTLING CO."
"SNCA-8100065-078616212400","8100065","078616212400","SNCA","GLACEAU FLAVORED/FUNCTIONAL WATER","15","313","FULL CALORIE GLACEAU FLAVORED/FUNCTIONAL WATER","1","FULL CALORIE GLACEAU FLAVORED/FUNCTIONAL WATER","1","NON CARBONATED BEVERAGES","3","FLAVORED/FUNCTIONAL WATER","25","","001392","055","0","GLACEAU VITAMINWATER VARIETY PACK","0","LB","0.001","1.00","I","","Y","N","COCA COLA CO"
